行业,岗位,技能组,技能组意义,知识树-1级,知识树-2级
制药,药品研发,药物合成,随便合合吧，最后能成功提取有效成分就行。工艺开发的好homie会帮你擦屁股。,药理学,药代
制药,药品研发,制剂,药品往往包含多种有效成分及辅助成分，需要将药剂调配至适当比例，保持药物稳定，并且确保其能够在人体内有效发挥作用。,药理学,药效
制药,药品研发,实验设计,药物分析,药学,药剂学
制药,药品研发,实验报告,药物分析,药学,毒理学
制药,药品研发,基因工程,仅存在于生物制药研发，区别于化学药物研发，额外掌握基因编辑，细胞培养，纯化，发酵等技能。,化学,药物化学
制药,药品研发,分子生物,仅存在于生物制药研发，区别于化学药物研发，额外掌握基因编辑，细胞培养，纯化，发酵等技能。,化学,有机化学
制药,药品研发,临床研究,临床实验设计，数据分析,生物,分子生物、生物统计
制药,工艺开发,合成路线设计,药品研发部门的药物合成方式往往是低效的——这帮人更知道自己想要什么产物，但合成方式也许蠢得一逼。工艺开发部门则更擅长根据合成目标，开发更高效可靠的药物合成路线。,化学工程,有机/高分子化学
制药,工艺开发,反应过程,控制反应条件,化学工程,化学反应工程
制药,工艺开发,处理过程,产物分离（初步提纯），结晶控制（使产物按照自己预想的成晶方式/粒度等，形成稳定结晶）,化学工程,化工原理
制药,工艺开发,精制过程,最终出品。,制药工程,制药工艺
制药,工艺开发,评估报告,工艺开发是药品研发和生产部门之间的桥梁，在新药转到生产部门之前，需要和药品研发频繁沟通，以求保质保量达成量产。,制药工程、生物,质量管理工程、基因工程、分子生物、发酵工程
芯片设计,前端设计（含系统设计）,需求分析,在什么场景，需要多少性能，最大什么尺寸，可以耗多少电，散热是否跟得上，成本大约控制在什么范围？,电子信息,数字电路
芯片设计,前端设计（含系统设计）,架构设计,根据需求，设计电路架构，画拓扑图，形成网表，交付给后续设计团队。,电子信息,模拟电路、单片机原理、嵌入式设计
芯片设计,前端设计（含系统设计）,逻辑设计,对架构进行细化分析，厘清逻辑细节。,计算机科学,C/perl/Makefile/python/TCL/Shell
芯片设计,前端设计（含系统设计）,撰写设计SPEC,罗列产品特征，核对模块接口，向验证工程师串讲。,计算机科学,Verilog/SV
芯片设计,前端设计（含系统设计）,代码开发,RTL，debug，确认时序。,半导体,半导体物理
芯片设计,数字验证,阅读设计SPEC,阅读设计文档，了解性能列表/IO端口/工作模式/IP协议文档。然后反串讲。,计算机科学,"C/C++,Verilog,Systemverilog,UVM"
芯片设计,数字验证,撰写验证SPEC,数字验证工程师搭建C/C++/UVM等环境并在环境下验证IC电路的可靠性。在实际验证之前，需要先撰写一份说明，讲明白自己设计了何种验证方式，以及为什么这种验证方式此时是最好的。,计算机科学,Shell，Makefile，Perl，Python
芯片设计,数字验证,设计测试用例,尽可能覆盖所有情况，从而彻底检查bug。,计算机科学,ARM架构，MIPI协议，DDR协议，AXI/AHB协议
芯片设计,数字验证,一轮验证,搭建验证环境，创建test cases，开始仿真并debug。,计算机科学,ARM架构，MIPI协议，DDR协议，AXI/AHB协议
芯片设计,数字验证,regression,搞一个脚本，对目标进行高频验证，尝试查出case fail。,计算机科学,ARM架构，MIPI协议，DDR协议，AXI/AHB协议
芯片设计,模拟版图设计,版图规划,模块设计，顶层布局，布线，拼图...总之现在你手里有一堆已经设计好的功能模块，现在想办法把它们连起来，然后塞进芯片里吧:),计算机科学,C/C++
芯片设计,模拟版图设计,版图绘制,绘图工具使用。,计算机科学,Linux
芯片设计,模拟版图设计,版图验证,对照设计规则和版图原理图，确保你连起来的那坨玩意的连接方式是正确的。,电子信息,数字电路
芯片设计,模拟版图设计,Linux,通用的开发平台。,电子信息,模拟电路
芯片设计,数字后端,芯片封装,设计管脚，设计封装参数,电子信息,数字电路
芯片设计,数字后端,电源布线,/,电子信息,模拟电路
芯片设计,数字后端,功率验证,/,电子工程,电路原理
芯片设计,数字后端,线间干扰相关,预防线间干扰，或者修正线间干扰，确保芯片正常工作。,电子工程,电路系统分析
芯片设计,数字后端,时序分析,时序收敛，确保芯片正常工作。,电子工程,控制工程
